TreeType;Operation;DataSize;TotalTimeNs;AvgTimeNs;FinalHeight;FinalNodes;Rotations
AVL Tree;Insertion;1000;10333000;10333;10;1000;990
AVL Tree;Search;1000;16040700;16040;10;1000;-858993460
AVL Tree;Deletion;1000;9948100;9948;0;0;-858993460
AA Tree;Insertion;1000;19831600;19831;15;1000;0
AA Tree;Search;1000;35679900;35679;15;1000;-858993460
AA Tree;Deletion;1000;21087200;21087;0;0;-858993460
Treap;Insertion;1000;23826400;23826;22;1000;993
Treap;Search;1000;45053000;45053;21;1000;-858993460
Treap;Deletion;1000;23305700;23305;0;0;-858993460
2-3 Tree;Insertion;1000;37379300;37379;9;994;0
2-3 Tree;Search;1000;58221800;58221;9;994;-858993460
2-3 Tree;Deletion;1000;59413300;59413;9;993;-858993460
AVL Tree;Insertion;1000;10409700;10409;10;1000;990
AVL Tree;Search;1000;16424400;16424;10;1000;-858993460
AVL Tree;Deletion;1000;10221900;10221;0;0;-858993460
AA Tree;Insertion;1000;19951200;19951;15;1000;0
AA Tree;Search;1000;35861700;35861;15;1000;-858993460
AA Tree;Deletion;1000;20982700;20982;0;0;-858993460
Treap;Insertion;1000;23931300;23931;21;1000;990
Treap;Search;1000;45527700;45527;23;1000;-858993460
Treap;Deletion;1000;23361900;23361;0;0;-858993460
2-3 Tree;Insertion;1000;37761400;37761;9;994;0
2-3 Tree;Search;1000;59184900;59184;9;994;-858993460
2-3 Tree;Deletion;1000;59654000;59654;9;993;-858993460
AVL Tree;Insertion;1000;10237500;10237;10;1000;990
AVL Tree;Search;1000;16133200;16133;10;1000;-858993460
AVL Tree;Deletion;1000;9968900;9968;0;0;-858993460
AA Tree;Insertion;1000;20122400;20122;15;1000;0
AA Tree;Search;1000;36007000;36007;15;1000;-858993460
AA Tree;Deletion;1000;20945700;20945;0;0;-858993460
Treap;Insertion;1000;24110900;24110;27;1000;991
Treap;Search;1000;45676600;45676;20;1000;-858993460
Treap;Deletion;1000;23664600;23664;0;0;-858993460
2-3 Tree;Insertion;1000;37868700;37868;9;994;0
2-3 Tree;Search;1000;58673200;58673;9;994;-858993460
2-3 Tree;Deletion;1000;60731500;60731;9;993;-858993460
AVL Tree;Insertion;1000;10390000;10390;10;1000;990
AVL Tree;Search;1000;16268500;16268;10;1000;-858993460
AVL Tree;Deletion;1000;10085900;10085;0;0;-858993460
AA Tree;Insertion;1000;20169500;20169;15;1000;0
AA Tree;Search;1000;36602500;36602;15;1000;-858993460
AA Tree;Deletion;1000;20897600;20897;0;0;-858993460
Treap;Insertion;1000;24246800;24246;19;1000;992
Treap;Search;1000;45811800;45811;23;1000;-858993460
Treap;Deletion;1000;24671800;24671;0;0;-858993460
2-3 Tree;Insertion;1000;38363900;38363;9;994;0
2-3 Tree;Search;1000;59109800;59109;9;994;-858993460
2-3 Tree;Deletion;1000;60557600;60557;9;993;-858993460
AVL Tree;Insertion;1000;10345300;10345;10;1000;990
AVL Tree;Search;1000;16198000;16198;10;1000;-858993460
AVL Tree;Deletion;1000;10028700;10028;0;0;-858993460
AA Tree;Insertion;1000;19967100;19967;15;1000;0
AA Tree;Search;1000;36057500;36057;15;1000;-858993460
AA Tree;Deletion;1000;21582900;21582;0;0;-858993460
Treap;Insertion;1000;23984300;23984;20;1000;991
Treap;Search;1000;46124500;46124;23;1000;-858993460
Treap;Deletion;1000;23841900;23841;0;0;-858993460
2-3 Tree;Insertion;1000;37746800;37746;9;994;0
2-3 Tree;Search;1000;59588500;59588;9;994;-858993460
2-3 Tree;Deletion;1000;59471900;59471;9;993;-858993460
AVL Tree;Insertion;1000;10344900;10344;10;1000;990
AVL Tree;Search;1000;16646900;16646;10;1000;-858993460
AVL Tree;Deletion;1000;10008600;10008;0;0;-858993460
AA Tree;Insertion;1000;20012600;20012;15;1000;0
AA Tree;Search;1000;36620200;36620;15;1000;-858993460
AA Tree;Deletion;1000;21064600;21064;0;0;-858993460
Treap;Insertion;1000;25000500;25000;20;1000;994
Treap;Search;1000;52320500;52320;23;1000;-858993460
Treap;Deletion;1000;23896600;23896;0;0;-858993460
2-3 Tree;Insertion;1000;37743900;37743;9;994;0
2-3 Tree;Search;1000;59737200;59737;9;994;-858993460
2-3 Tree;Deletion;1000;59903700;59903;9;993;-858993460
AVL Tree;Insertion;1000;10605800;10605;10;1000;990
AVL Tree;Search;1000;16304900;16304;10;1000;-858993460
AVL Tree;Deletion;1000;10091700;10091;0;0;-858993460
AA Tree;Insertion;1000;20418500;20418;15;1000;0
AA Tree;Search;1000;36194100;36194;15;1000;-858993460
AA Tree;Deletion;1000;21028100;21028;0;0;-858993460
Treap;Insertion;1000;24054300;24054;24;1000;996
Treap;Search;1000;45749000;45749;21;1000;-858993460
Treap;Deletion;1000;23699600;23699;0;0;-858993460
2-3 Tree;Insertion;1000;37818100;37818;9;994;0
2-3 Tree;Search;1000;59268000;59268;9;994;-858993460
2-3 Tree;Deletion;1000;60338400;60338;9;993;-858993460
AVL Tree;Insertion;1000;10477000;10477;10;1000;990
AVL Tree;Search;1000;16367400;16367;10;1000;-858993460
AVL Tree;Deletion;1000;10021300;10021;0;0;-858993460
AA Tree;Insertion;1000;20105900;20105;15;1000;0
AA Tree;Search;1000;36665000;36665;15;1000;-858993460
AA Tree;Deletion;1000;20993000;20993;0;0;-858993460
Treap;Insertion;1000;24008800;24008;19;1000;989
Treap;Search;1000;45636200;45636;23;1000;-858993460
Treap;Deletion;1000;23619300;23619;0;0;-858993460
2-3 Tree;Insertion;1000;38216600;38216;9;994;0
2-3 Tree;Search;1000;58623200;58623;9;994;-858993460
2-3 Tree;Deletion;1000;61703300;61703;9;993;-858993460
AVL Tree;Insertion;1000;10408000;10408;10;1000;990
AVL Tree;Search;1000;16485800;16485;10;1000;-858993460
AVL Tree;Deletion;1000;10080400;10080;0;0;-858993460
AA Tree;Insertion;1000;20100600;20100;15;1000;0
AA Tree;Search;1000;36167300;36167;15;1000;-858993460
AA Tree;Deletion;1000;21499900;21499;0;0;-858993460
Treap;Insertion;1000;24572400;24572;19;1000;993
Treap;Search;1000;46090500;46090;22;1000;-858993460
Treap;Deletion;1000;23939000;23939;0;0;-858993460
2-3 Tree;Insertion;1000;38198300;38198;9;994;0
2-3 Tree;Search;1000;57832800;57832;9;994;-858993460
2-3 Tree;Deletion;1000;59527900;59527;9;993;-858993460
AVL Tree;Insertion;1000;10453100;10453;10;1000;990
AVL Tree;Search;1000;16487300;16487;10;1000;-858993460
AVL Tree;Deletion;1000;10193500;10193;0;0;-858993460
AA Tree;Insertion;1000;19999000;19999;15;1000;0
AA Tree;Search;1000;35823900;35823;15;1000;-858993460
AA Tree;Deletion;1000;20814300;20814;0;0;-858993460
Treap;Insertion;1000;23976000;23976;20;1000;993
Treap;Search;1000;46241600;46241;21;1000;-858993460
Treap;Deletion;1000;23414400;23414;0;0;-858993460
2-3 Tree;Insertion;1000;37092100;37092;9;994;0
2-3 Tree;Search;1000;57887600;57887;9;994;-858993460
2-3 Tree;Deletion;1000;59700900;59700;9;993;-858993460
