TreeType;Operation;DataSize;TotalTimeNs;AvgTimeNs;FinalHeight;FinalNodes;Rotations
AVL Tree;Insertion;1000;11316000;11316;12;1000;690
AVL Tree;Search;1000;18312300;18312;12;1000;-858993460
AVL Tree;Deletion;1000;11191900;11191;0;0;-858993460
AA Tree;Insertion;1000;21996400;21996;15;1000;0
AA Tree;Search;1000;40629300;40629;15;1000;-858993460
AA Tree;Deletion;1000;23300500;23300;0;0;-858993460
Treap;Insertion;1000;24333500;24333;24;1000;2013
Treap;Search;1000;45405300;45405;21;1000;-858993460
Treap;Deletion;1000;23845700;23845;0;0;-858993460
2-3 Tree;Insertion;1000;16246000;16246;12;278;0
2-3 Tree;Search;1000;18119700;18119;12;278;-858993460
2-3 Tree;Deletion;1000;18222300;18222;12;277;-858993460
AVL Tree;Insertion;1000;11252100;11252;12;999;690
AVL Tree;Search;1000;18336800;18336;12;999;-858993460
AVL Tree;Deletion;1000;11225100;11225;0;0;-858993460
AA Tree;Insertion;1000;21994700;21994;13;999;0
AA Tree;Search;1000;40653700;40653;13;999;-858993460
AA Tree;Deletion;1000;23233200;23233;0;0;-858993460
Treap;Insertion;1000;24170500;24170;23;999;1921
Treap;Search;1000;45931300;45931;22;999;-858993460
Treap;Deletion;1000;23643100;23643;0;0;-858993460
2-3 Tree;Insertion;1000;14703400;14703;13;303;0
2-3 Tree;Search;1000;19868700;19868;13;303;-858993460
2-3 Tree;Deletion;1000;19877000;19877;13;302;-858993460
AVL Tree;Insertion;1000;11309300;11309;12;999;675
AVL Tree;Search;1000;18443300;18443;12;999;-858993460
AVL Tree;Deletion;1000;11490200;11490;0;0;-858993460
AA Tree;Insertion;1000;22182300;22182;14;999;0
AA Tree;Search;1000;41027300;41027;14;999;-858993460
AA Tree;Deletion;1000;23360000;23360;0;0;-858993460
Treap;Insertion;1000;24229900;24229;23;999;1941
Treap;Search;1000;45689500;45689;21;999;-858993460
Treap;Deletion;1000;23780800;23780;0;0;-858993460
2-3 Tree;Insertion;1000;18497500;18497;13;390;0
2-3 Tree;Search;1000;25401300;25401;13;390;-858993460
2-3 Tree;Deletion;1000;25198700;25198;13;389;-858993460
AVL Tree;Insertion;1000;11355100;11355;12;1000;689
AVL Tree;Search;1000;18605000;18605;12;1000;-858993460
AVL Tree;Deletion;1000;11263600;11263;0;0;-858993460
AA Tree;Insertion;1000;22178100;22178;14;1000;0
AA Tree;Search;1000;40829700;40829;14;1000;-858993460
AA Tree;Deletion;1000;23347800;23347;0;0;-858993460
Treap;Insertion;1000;24194300;24194;18;1000;1853
Treap;Search;1000;45455200;45455;20;1000;-858993460
Treap;Deletion;1000;24037600;24037;0;0;-858993460
2-3 Tree;Insertion;1000;22365700;22365;16;419;0
2-3 Tree;Search;1000;27300000;27300;16;419;-858993460
2-3 Tree;Deletion;1000;27328300;27328;16;418;-858993460
AVL Tree;Insertion;1000;11399000;11399;12;1000;707
AVL Tree;Search;1000;18489800;18489;12;1000;-858993460
AVL Tree;Deletion;1000;11279500;11279;0;0;-858993460
AA Tree;Insertion;1000;22122800;22122;14;1000;0
AA Tree;Search;1000;40598300;40598;14;1000;-858993460
AA Tree;Deletion;1000;23288400;23288;0;0;-858993460
Treap;Insertion;1000;24196900;24196;21;1000;1796
Treap;Search;1000;45661300;45661;24;1000;-858993460
Treap;Deletion;1000;23736100;23736;0;0;-858993460
2-3 Tree;Insertion;1000;15917500;15917;13;298;0
2-3 Tree;Search;1000;19047500;19047;13;298;-858993460
2-3 Tree;Deletion;1000;19139500;19139;13;297;-858993460
AVL Tree;Insertion;1000;11348200;11348;12;998;749
AVL Tree;Search;1000;18494600;18494;12;998;-858993460
AVL Tree;Deletion;1000;11268200;11268;0;0;-858993460
AA Tree;Insertion;1000;22562400;22562;13;998;0
AA Tree;Search;1000;40610100;40610;13;998;-858993460
AA Tree;Deletion;1000;23268700;23268;0;0;-858993460
Treap;Insertion;1000;24938600;24938;20;998;1931
Treap;Search;1000;45810700;45810;21;998;-858993460
Treap;Deletion;1000;23894500;23894;0;0;-858993460
2-3 Tree;Insertion;1000;17887200;17887;14;327;0
2-3 Tree;Search;1000;21093200;21093;14;327;-858993460
2-3 Tree;Deletion;1000;21709000;21709;14;326;-858993460
AVL Tree;Insertion;1000;11322000;11322;12;1000;676
AVL Tree;Search;1000;18444300;18444;12;1000;-858993460
AVL Tree;Deletion;1000;11300300;11300;0;0;-858993460
AA Tree;Insertion;1000;22186800;22186;14;1000;0
AA Tree;Search;1000;40785300;40785;14;1000;-858993460
AA Tree;Deletion;1000;23802500;23802;0;0;-858993460
Treap;Insertion;1000;24056900;24056;17;1000;2007
Treap;Search;1000;45436400;45436;21;1000;-858993460
Treap;Deletion;1000;23733500;23733;0;0;-858993460
2-3 Tree;Insertion;1000;15931000;15931;12;297;0
2-3 Tree;Search;1000;19443400;19443;12;297;-858993460
2-3 Tree;Deletion;1000;19317500;19317;12;296;-858993460
AVL Tree;Insertion;1000;11250100;11250;12;1000;700
AVL Tree;Search;1000;18211400;18211;12;1000;-858993460
AVL Tree;Deletion;1000;11218000;11218;0;0;-858993460
AA Tree;Insertion;1000;21919700;21919;15;1000;0
AA Tree;Search;1000;40335500;40335;15;1000;-858993460
AA Tree;Deletion;1000;23105400;23105;0;0;-858993460
Treap;Insertion;1000;23925500;23925;24;1000;1946
Treap;Search;1000;45317400;45317;20;1000;-858993460
Treap;Deletion;1000;23543600;23543;0;0;-858993460
2-3 Tree;Insertion;1000;24558800;24558;16;480;0
2-3 Tree;Search;1000;30364900;30364;16;480;-858993460
2-3 Tree;Deletion;1000;30732300;30732;16;479;-858993460
AVL Tree;Insertion;1000;11259500;11259;12;1000;638
AVL Tree;Search;1000;18257200;18257;12;1000;-858993460
AVL Tree;Deletion;1000;11292400;11292;0;0;-858993460
AA Tree;Insertion;1000;22162500;22162;14;1000;0
AA Tree;Search;1000;40949300;40949;14;1000;-858993460
AA Tree;Deletion;1000;23411200;23411;0;0;-858993460
Treap;Insertion;1000;24300900;24300;20;1000;2004
Treap;Search;1000;45510300;45510;19;1000;-858993460
Treap;Deletion;1000;23759600;23759;0;0;-858993460
2-3 Tree;Insertion;1000;19976700;19976;15;405;0
2-3 Tree;Search;1000;25946100;25946;15;405;-858993460
2-3 Tree;Deletion;1000;25993500;25993;15;404;-858993460
AVL Tree;Insertion;1000;11304500;11304;12;998;666
AVL Tree;Search;1000;18564000;18564;12;998;-858993460
AVL Tree;Deletion;1000;11244100;11244;0;0;-858993460
AA Tree;Insertion;1000;22072900;22072;14;998;0
AA Tree;Search;1000;40691500;40691;14;998;-858993460
AA Tree;Deletion;1000;23316600;23316;0;0;-858993460
Treap;Insertion;1000;24280700;24280;24;998;1979
Treap;Search;1000;45759300;45759;20;998;-858993460
Treap;Deletion;1000;23798100;23798;0;0;-858993460
2-3 Tree;Insertion;1000;21531200;21531;13;461;0
2-3 Tree;Search;1000;29998900;29998;13;461;-858993460
2-3 Tree;Deletion;1000;30264200;30264;13;460;-858993460
