TreeType;Operation;DataSize;TotalTimeNs;AvgTimeNs;FinalHeight;FinalNodes;Rotations
AVL Tree;Insertion;500;4409400;8818;9;500;491
AVL Tree;Search;500;5149600;10299;9;500;-858993460
AVL Tree;Deletion;500;2845100;5690;0;0;-858993460
AA Tree;Insertion;500;4970200;9940;9;500;0
AA Tree;Search;500;9897700;19795;9;500;-858993460
AA Tree;Deletion;500;5776700;11553;0;0;-858993460
Treap;Insertion;500;5990700;11981;23;500;493
Treap;Search;500;12218000;24436;19;500;-858993460
Treap;Deletion;500;5772300;11544;0;0;-858993460
2-3 Tree;Insertion;500;2753454800;5506909;250;62500;0
2-3 Tree;Search;500;9592955800;19185911;250;62500;-858993460
2-3 Tree;Deletion;500;9698830800;19397661;250;62251;-858993460
AVL Tree;Insertion;500;3091500;6183;9;500;491
AVL Tree;Search;500;3872400;7744;9;500;-858993460
AVL Tree;Deletion;500;3072900;6145;0;0;-858993460
AA Tree;Insertion;500;5154100;10308;9;500;0
AA Tree;Search;500;11704000;23408;9;500;-858993460
AA Tree;Deletion;500;6083000;12166;0;0;-858993460
Treap;Insertion;500;6087600;12175;23;500;496
Treap;Search;500;12624400;25248;19;500;-858993460
Treap;Deletion;500;5911900;11823;0;0;-858993460
2-3 Tree;Insertion;500;2638652100;5277304;250;62500;0
2-3 Tree;Search;500;9575405700;19150811;250;62500;-858993460
2-3 Tree;Deletion;500;9552411500;19104823;250;62251;-858993460
AVL Tree;Insertion;500;2939300;5878;9;500;491
AVL Tree;Search;500;4331400;8662;9;500;-858993460
AVL Tree;Deletion;500;2901800;5803;0;0;-858993460
AA Tree;Insertion;500;4974600;9949;9;500;0
AA Tree;Search;500;8287500;16575;9;500;-858993460
AA Tree;Deletion;500;5885800;11771;0;0;-858993460
Treap;Insertion;500;5916900;11833;20;500;494
Treap;Search;500;11904500;23809;20;500;-858993460
Treap;Deletion;500;5848500;11697;0;0;-858993460
2-3 Tree;Insertion;500;2583164700;5166329;250;62500;0
2-3 Tree;Search;500;9627782100;19255564;250;62500;-858993460
2-3 Tree;Deletion;500;9563501900;19127003;250;62251;-858993460
AVL Tree;Insertion;500;3044200;6088;9;500;491
AVL Tree;Search;500;3994800;7989;9;500;-858993460
AVL Tree;Deletion;500;2895500;5791;0;0;-858993460
AA Tree;Insertion;500;5536900;11073;9;500;0
AA Tree;Search;500;8380800;16761;9;500;-858993460
AA Tree;Deletion;500;5750500;11501;0;0;-858993460
Treap;Insertion;500;5925200;11850;23;500;494
Treap;Search;500;12272100;24544;20;500;-858993460
Treap;Deletion;500;5851300;11702;0;0;-858993460
2-3 Tree;Insertion;500;2650121900;5300243;250;62500;0
2-3 Tree;Search;500;9672327600;19344655;250;62500;-858993460
2-3 Tree;Deletion;500;9540329800;19080659;250;62251;-858993460
AVL Tree;Insertion;500;2956100;5912;9;500;491
AVL Tree;Search;500;4009200;8018;9;500;-858993460
AVL Tree;Deletion;500;3351800;6703;0;0;-858993460
AA Tree;Insertion;500;4992000;9984;9;500;0
AA Tree;Search;500;8378100;16756;9;500;-858993460
AA Tree;Deletion;500;8523300;17046;0;0;-858993460
Treap;Insertion;500;6206700;12413;21;500;492
Treap;Search;500;10873200;21746;19;500;-858993460
Treap;Deletion;500;5943600;11887;0;0;-858993460
2-3 Tree;Insertion;500;2599266700;5198533;250;62500;0
2-3 Tree;Search;500;9614256400;19228512;250;62500;-858993460
2-3 Tree;Deletion;500;9560526700;19121053;250;62251;-858993460
AVL Tree;Insertion;500;2945800;5891;9;500;491
AVL Tree;Search;500;3876900;7753;9;500;-858993460
AVL Tree;Deletion;500;5022300;10044;0;0;-858993460
AA Tree;Insertion;500;5450300;10900;9;500;0
AA Tree;Search;500;8302500;16605;9;500;-858993460
AA Tree;Deletion;500;5773500;11547;0;0;-858993460
Treap;Insertion;500;8638700;17277;19;500;494
Treap;Search;500;10676200;21352;19;500;-858993460
Treap;Deletion;500;7333000;14666;0;0;-858993460
